title,type,release_year,age,is_recent,duration_num,is_tv,is_us,year_added,country_primary,genre_primary,rating,listed_in,cast,has_known_actor,imdb_rating,imdb_votes,trending
Octonauts: Above & Beyond,TV Show,2021,5,1,1.0,1,0,2021,United Kingdom,british tv shows,TV-Y,"british tv shows, kids' tv","Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",1,7.2,210.0,0
A Champion Heart,Movie,2018,8,1,90.0,0,1,2021,United States,children & family movies,G,"children & family movies, dramas","Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",0,6.1,472.0,0
Dive Club,TV Show,2021,5,1,1.0,1,0,2021,Australia,kids' tv,TV-G,"kids' tv, tv dramas, teen tv shows","Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant",0,6.2,1328.0,0
Bright Star,Movie,2009,17,0,119.0,0,0,2021,United Kingdom,dramas,PG,"dramas, romantic movies","Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin",1,6.9,29294.0,1
An Unfinished Life,Movie,2005,21,0,108.0,0,0,2021,Germany,dramas,PG-13,dramas,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson",1,7.0,35295.0,1
Crocodile Dundee in Los Angeles,Movie,2001,25,0,95.0,0,0,2021,Australia,action & adventure,PG,"action & adventure, comedies","Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson",1,4.8,27190.0,1
Do the Right Thing,Movie,1989,37,0,120.0,0,1,2021,United States,classic movies,R,"classic movies, comedies, dramas","Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",1,7.9,123086.0,1
I Got the Hook Up,Movie,1998,28,0,93.0,0,1,2021,United States,action & adventure,R,"action & adventure, comedies","Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",1,4.1,2449.0,0
Labyrinth,Movie,1986,40,0,101.0,0,0,2021,United Kingdom,action & adventure,PG,"action & adventure, children & family movies, cult movies","David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser",1,7.3,163150.0,1
Love Don't Cost a Thing,Movie,2003,23,0,101.0,0,1,2021,United States,comedies,PG-13,"comedies, romantic movies","Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",1,5.2,9596.0,0
Marshall,Movie,2017,9,1,118.0,0,1,2021,United States,dramas,PG-13,dramas,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss",1,7.3,28472.0,1
Mystery Men,Movie,1999,27,0,121.0,0,1,2021,United States,action & adventure,PG-13,"action & adventure, comedies","Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",1,6.1,73687.0,1
Poseidon,Movie,2006,20,0,98.0,0,1,2021,United States,action & adventure,PG-13,"action & adventure, dramas","Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",1,5.7,114775.0,1
Snervous Tyler Oakley,Movie,2015,11,1,83.0,0,1,2021,United States,documentaries,PG-13,"documentaries, lgbtq movies",Tyler Oakley,0,5.5,482.0,0
Tears of the Sun,Movie,2003,23,0,121.0,0,1,2021,United States,action & adventure,R,"action & adventure, dramas","Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",1,6.6,137079.0,1
The Blue Lagoon,Movie,1980,46,0,105.0,0,1,2021,United States,dramas,R,"dramas, romantic movies","Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",1,5.8,82702.0,1
The Golden Child,Movie,1986,40,0,94.0,0,1,2021,United States,action & adventure,PG-13,"action & adventure, comedies","Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",1,6.0,62890.0,1
Welcome Home Roscoe Jenkins,Movie,2008,18,0,114.0,0,1,2021,United States,comedies,PG-13,comedies,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.",1,5.5,16394.0,1
Wind River,Movie,2017,9,1,107.0,0,0,2021,United Kingdom,dramas,R,"dramas, independent movies","Jeremy Renner, Elizabeth Olsen, Jon Bernthal, Gil Birmingham, Kelsey Asbille, Tantoo Cardinal, Teo Briones, Matthew Del Negro, Hugh Dillon, Julia Jones, James Jordan, Eric Lange, Martin Sensmeier, Mason Davis, Graham Greene",1,7.7,311709.0,1
D.P.,TV Show,2021,5,1,1.0,1,0,2021,,international tv shows,TV-MA,"international tv shows, tv dramas","Jung Hae-in, Koo Kyo-hwan, Kim Sung-kyun, Son Suk-ku",1,8.2,11647.0,1
Ragini MMS 2,Movie,2014,12,0,113.0,0,0,2021,India,horror movies,TV-MA,"horror movies, international movies","Sunny Leone, Saahil Prem, Parvin Dabas, Sandhya Mridul, Divya Dutta, Soniya Mehra, Kainaz Motivala, Karan Mehra",1,3.9,3277.0,0
Shootout at Lokhandwala,Movie,2007,19,0,116.0,0,0,2021,India,action & adventure,TV-MA,"action & adventure, dramas, international movies","Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Arbaaz Khan, Abhishek Bachchan, Vivek Oberoi, Tusshar Kapoor, Rohit Roy, Shabbir Ahluwalia, Dia Mirza, Amrita Singh, Neha Dhupia",1,7.1,11047.0,1
Really Love,Movie,2020,6,1,95.0,0,1,2021,United States,dramas,TV-MA,"dramas, independent movies, romantic movies","Kofi Siriboe, Yootha Wong-Loi-Sing, Michael Ealy, Uzo Aduba",1,6.2,1162.0,0
Count Me In,Movie,2021,5,1,82.0,0,0,2021,United Kingdom,documentaries,TV-MA,"documentaries, music & musicals",,0,6.8,2371.0,0
Sweet Girl,Movie,2021,5,1,110.0,0,1,2021,United States,action & adventure,R,"action & adventure, dramas","Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James",1,5.5,37929.0,1
The Kingdom,TV Show,2021,5,1,1.0,1,0,2021,Argentina,crime tv shows,TV-MA,"crime tv shows, international tv shows, spanish-language tv shows","Chino Darín, Nancy Dupláa, Joaquín Furriel, Peter Lanzani, Mercedes Morán, Diego Peretti, Vera Spinetta, Nico García Hume, Victoria Almeida, Santiago Korovsky, Patricio Aramburu, Alfonso Tort, Diego Gentile, Néstor Guzzini, Daniel Kuzniecka",1,6.4,1868.0,0
Monster Hunter: Legends of the Guild,Movie,2021,5,1,59.0,0,1,2021,United States,action & adventure,TV-PG,"action & adventure, anime features, children & family movies","Ben Rausch, Erica Lindbeck, Dante Basco, Brando Eaton, Stephen Kramer Glickman, Caroline Caliston, G.K. Bowes, Dan McCoy",1,5.2,1624.0,0
Misha and the Wolves,Movie,2021,5,1,90.0,0,0,2021,Belgium,documentaries,PG-13,"documentaries, international movies",,0,6.6,3539.0,0
Hit & Run,TV Show,2021,5,1,1.0,1,0,2021,Israel,tv action & adventure,TV-MA,"tv action & adventure, tv dramas, tv mysteries","Lior Raz, Kaelen Ohm, Sanaa Lathan, Moran Rosenblatt, Lior Ashkenazi, Gregg Henry, Gal Toren",1,7.0,11758.0,1
Chennai Express,Movie,2013,13,0,135.0,0,0,2021,India,action & adventure,TV-14,"action & adventure, comedies, international movies","Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari",1,6.2,68743.0,1
'76,Movie,2016,10,1,118.0,0,0,2021,Nigeria,dramas,TV-PG,"dramas, international movies","Ramsey Nouah, Rita Dominic, Chidi Mokeme, Ibinabo Fiberesima, Daniel K. Daniel, Memry Savanhu, Adonijah Owiriwa, Pat Nebo, Nelly Ekwereogu, Shuaibu Ebenesi Adams, Debo Oguns, Ben Nwosu, Ada Ofoegbu",1,5.5,308.0,0
Heavy,Movie,1995,31,0,104.0,0,1,2021,United States,dramas,R,"dramas, independent movies, romantic movies","Pruitt Taylor Vince, Shelley Winters, Liv Tyler, Debbie Harry, Evan Dando, Joe Grifasi, David Patrick Kelly, Marian Quinn",1,6.7,6060.0,0
The Prince Who Turns into a Frog,TV Show,2005,21,0,1.0,1,0,2021,Taiwan,international tv shows,TV-14,"international tv shows, romantic tv shows, tv comedies","Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang",1,7.0,191.0,0
Beethoven,Movie,1992,34,0,87.0,0,1,2021,United States,children & family movies,PG,"children & family movies, comedies","Charles Grodin, Bonnie Hunt, Dean Jones, Oliver Platt, Stanley Tucci, Nicholle Tom, Christopher Castile, Sarah Rose Karr, David Duchovny, Patricia Heaton, O-Lan Jones, Nancy Fish",1,5.7,79663.0,1
Beowulf,Movie,2007,19,0,114.0,0,1,2021,United States,action & adventure,PG-13,"action & adventure, sci-fi & fantasy","Ray Winstone, Anthony Hopkins, John Malkovich, Angelina Jolie, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Sharisse Baker-Bernard",1,6.3,179258.0,1
Boyka: Undisputed,Movie,2016,10,1,90.0,0,0,2021,Bulgaria,action & adventure,R,action & adventure,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov, Brahim Achabbakhe, Paul Chahidi, Petio Petkov, Valentin Ganev, Vlado Mihailov",1,7.0,26480.0,1
Five Feet Apart,Movie,2019,7,1,116.0,0,1,2021,United States,dramas,PG-13,"dramas, romantic movies","Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hébert Gregory, Parminder Nagra, Claire Forlani, Emily Baldoni, Gary Weeks, Cynthia Evans",1,7.2,95803.0,1
Freedomland,Movie,2006,20,0,113.0,0,1,2021,United States,dramas,R,"dramas, thrillers","Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe, Aunjanue Ellis, Anthony Mackie, LaTanya Richardson Jackson, Clarke Peters, Peter Friedman, Domenick Lombardozzi",1,5.2,17391.0,1
Open Season: Scared Silly,Movie,2015,11,1,85.0,0,1,2021,United States,children & family movies,PG,"children & family movies, comedies","William Townsend, Donny Lucas, Melissa Sturm, Trevor Devall, Brian Drummond, Kathleen Barr, Garry Chalk, Lee Tockar, Shannon Chan-Kent, Michelle Murdocca, Lorne Cardinal, Peter Kelamis",1,5.0,4497.0,0
The Lincoln Lawyer,Movie,2011,15,0,118.0,0,1,2021,United States,dramas,R,"dramas, thrillers","Matthew McConaughey, Josh Lucas, Ryan Phillippe, John Leguizamo, Michael Peña, Bryan Cranston, Bob Gunton, William H. Macy, Marisa Tomei, Frances Fisher",1,7.3,266302.0,1
The Machinist,Movie,2004,22,0,102.0,0,0,2021,Spain,dramas,R,"dramas, independent movies, thrillers","Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside, Lawrence Gilliard Jr., Reg E. Cathey, Anna Massey, Matthew Romero, Robert Long, Colin Stinton, Craig Stevenson",1,7.6,439507.0,1
Bartkowiak,Movie,2021,5,1,92.0,0,0,2021,Poland,action & adventure,TV-MA,"action & adventure, international movies","Józef Pawłowski, Zofia Domalik, Szymon Bobrowski, Bartłomiej Topa, Janusz Chabior, Rafał Zawierucha, Antoni Pawlicki, Cezary Łukaszewicz, Danuta Stenka, Jan Frycz, Damian Majewski",0,5.1,1546.0,0
The Book of Henry,Movie,2017,9,1,105.0,0,1,2021,United States,dramas,PG-13,dramas,"Naomi Watts, Jaeden Martell, Jacob Tremblay, Sarah Silverman, Dean Norris, Lee Pace, Maddie Ziegler, Tonya Pinkins, Bobby Moynihan, Geraldine Hughes",1,6.6,30366.0,1
American Woman,Movie,2019,7,1,87.0,0,1,2021,United States,dramas,TV-MA,"dramas, independent movies","Hong Chau, Sarah Gadon, John Gallagher Jr., Lola Kirke, Ellen Burstyn, David Cubitt, Jordan Pettle, Richard Walters",1,5.1,380.0,0
RESIDENT EVIL: Infinite Darkness,TV Show,2021,5,1,1.0,1,1,2021,United States,anime series,TV-MA,"anime series, tv horror, tv thrillers","Nick Apostolides, Stephanie Panisello, Ray Chase, Jona Xiao, Billy Kametz, Joe J. Thomas, Doug Stone, Brad Venable, Toshiyuki Morikawa, Yuhko Kaida, Fumihiko Tachiki, Megumi Han, Kenji Nojima, Kazuhiko Inoue, Aruno Tahara, Mitsuru Ogata",1,5.8,13754.0,1
Brick Mansions,Movie,2014,12,0,90.0,0,0,2021,France,action & adventure,PG-13,"action & adventure, international movies","Paul Walker, David Belle, RZA, Gouchy Boy, Catalina Denis, Ayisha Issa, Carlo Rota, Andreas Apergis, Richard Zeman, Robert Maillet",1,5.6,45493.0,1
This Little Love Of Mine,Movie,2021,5,1,92.0,0,0,2021,Australia,international movies,TV-G,"international movies, romantic movies","Saskia Hampele, Liam McIntyre, Lynn Gilmartin, Craig Horner",1,5.4,3376.0,0
Between,TV Show,2016,10,1,2.0,1,0,2021,Canada,international tv shows,TV-14,"international tv shows, tv dramas, tv mysteries","Jennette McCurdy, Jesse Carere, Ryan Allen, Justin Kelly, Kyle Mac, Jack Murray, Brooke Palsson, Jim Watson, Wesley Morgan, Krystal Hope Nausbaum, Shailene Garnett, Canute Gomes, Sarah Podemski, Shailyn Pierre-Dixon, Jesse Bostick, Steven Grayhm, Percy Hynes White, Mercedes Morris, Samantha Munro",1,4.7,49.0,0
Truckbhar Swapna,Movie,2018,8,1,128.0,0,0,2021,India,comedies,TV-14,"comedies, dramas, international movies","Makrand Deshpande, Kranti Redkar, Mukesh Rishi, Manoj Joshi, Smita Tambe, Aaditi Pohankar, Sahil Gilbile, Jyoti Joshi",1,6.1,20.0,0
Undercover,TV Show,2020,6,1,2.0,1,0,2021,Belgium,crime tv shows,TV-MA,"crime tv shows, international tv shows, tv action & adventure","Tom Waes, Anna Drijver, Frank Lammers, Elise Schaap, Raymond Thiry, Kris Cuppens, Kevin Janssens, Huub Smit",1,8.4,18.0,0
Air Force One,Movie,1997,29,0,125.0,0,1,2021,United States,action & adventure,R,action & adventure,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Paul Guilfoyle, William H. Macy, Liesel Matthews, Dean Stockwell, Xander Berkeley, Bill Smitrovich, Elya Baskin, David Vadim, Tom Everett, Spencer Garrett, Philip Baker Hall",1,6.5,221851.0,1
Austin Powers: International Man of Mystery,Movie,1997,29,0,90.0,0,1,2021,United States,comedies,PG-13,comedies,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell",1,7.0,271968.0,1
No Strings Attached,Movie,2011,15,0,109.0,0,1,2021,United States,comedies,R,"comedies, romantic movies","Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes, Greta Gerwig, Lake Bell, Olivia Thirlby, Ludacris, Jake Johnson, Mindy Kaling, Talia Balsam",1,6.2,252790.0,1
Snow Day,Movie,2000,26,0,89.0,0,1,2021,United States,children & family movies,PG,"children & family movies, comedies","Chris Elliott, Mark Webber, Jean Smart, Schuyler Fisk, Iggy Pop, Pam Grier, John Schneider, Chevy Chase, Zena Grey, Josh Peck",1,5.2,14423.0,1
Star Trek,Movie,2009,17,0,128.0,0,1,2021,United States,action & adventure,PG-13,"action & adventure, sci-fi & fantasy","Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Eric Bana, Leonard Nimoy, Bruce Greenwood, Ben Cross, Winona Ryder",1,7.9,636122.0,1
The Karate Kid,Movie,1984,42,0,127.0,0,1,2021,United States,action & adventure,PG,"action & adventure, children & family movies, classic movies","Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison",1,7.3,269111.0,1
The Karate Kid Part II,Movie,1986,40,0,113.0,0,1,2021,United States,action & adventure,PG,"action & adventure, children & family movies, dramas","Ralph Macchio, Pat Morita, Nobu McCarthy, Tamlyn Tomita, Yuji Okumoto, Joey Miyashima, Marc Hayashi, Danny Kamekona, Tony O'Dell, Martin Kove, William Zabka",1,6.2,107675.0,1
The Sum of All Fears,Movie,2002,24,0,124.0,0,1,2021,United States,action & adventure,PG-13,action & adventure,"Ben Affleck, Morgan Freeman, Bridget Moynahan, James Cromwell, Liev Schreiber, Michael Byrne, Colm Feore, Alan Bates, Ron Rifkin, Ciarán Hinds, Bruce McGill, Richard Marner, Philip Baker Hall",1,6.5,133688.0,1
Underworld: Awakening,Movie,2012,14,0,89.0,0,1,2021,United States,action & adventure,R,"action & adventure, horror movies, sci-fi & fantasy","Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James, India Eisley, Sandrine Holt, Charles Dance, Kris Holden-Ried, Jacob Blair, Adam Greydon Reid",1,6.3,166979.0,1
Why Do Fools Fall in Love,Movie,1998,28,0,116.0,0,1,2021,United States,dramas,R,"dramas, music & musicals, romantic movies","Halle Berry, Vivica A. Fox, Larenz Tate, Lela Rochon, Little Richard, Paul Mazursky, Pamela Reed, Alexis Cruz",1,6.4,4604.0,0
Wonder Boy,Movie,2019,7,1,83.0,0,0,2021,France,documentaries,TV-14,"documentaries, international movies",Olivier Rousteing,0,6.7,545.0,0
No Time for Shame,TV Show,2019,7,1,1.0,1,0,2021,Argentina,international tv shows,TV-MA,"international tv shows, reality tv, spanish-language tv shows",Santiago Artemis,0,5.7,95.0,0
The Judgement,TV Show,2018,8,1,1.0,1,0,2021,Thailand,crime tv shows,TV-MA,"crime tv shows, international tv shows, tv dramas","Lapassalal Jiravechsoontornkul, Nontanun Anchuleepradit, Thanabordee Jaiyen, Pamiga Sooksawee, Pongsathon Laiwrakoran, Nara Thepnupa, Premanan Sripanich, Tanutchai Wijitvongtong, Wasu Sansingkeaw, Arpasiri Nitipon",0,6.5,114.0,0
They've Gotta Have Us,TV Show,2018,8,1,1.0,1,0,2021,United Kingdom,british tv shows,TV-MA,"british tv shows, docuseries","Debbie Allen, Harry Belafonte, John Boyega, Diahann Carroll, Ernest R. Dickerson, Laurence Fishburne, Nelson George, Whoopi Goldberg, Cuba Gooding Jr., LilRel Howery, Barry Jenkins, Kasi Lemmons, David Oyelowo, Robert Townsend, Jesse Williams",1,7.9,335.0,0
Elite,TV Show,2021,5,1,4.0,1,0,2021,Spain,crime tv shows,TV-MA,"crime tv shows, international tv shows, spanish-language tv shows","Danna Paola, Miguel Herrán, María Pedraza, Itzan Escamilla, Miguel Bernardeau, Jaime Lorente, Álvaro Rico, Arón Piper, Mina El Hammani, Ester Expósito, Omar Ayuso",1,6.8,3070.0,0
Red Snow,Movie,2019,7,1,96.0,0,0,2021,Canada,dramas,TV-MA,dramas,"Asivak Koostachin, Shafin Karim, Mozhdah Jamalzadah, Kane Mahon, Ishaan Vasdev, Samuel Marty, Miika Bryce Whiskeyjack, Tantoo Cardinal",1,4.8,204.0,0
Avengers Climate Conundrum,TV Show,2020,6,1,1.0,1,1,2021,United States,kids' tv,TV-Y7,"kids' tv, tv comedies","Giles Panton, Michael Daingerfield, Bill Newton, James Blight, Nicole Oliver, Adrian Petriw, Alex Barima, Rebecca Shoichet",1,6.2,184.0,0
Rogue Warfare: Death of a Nation,Movie,2020,6,1,99.0,0,1,2021,United States,action & adventure,R,action & adventure,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Stephen Lang, Chris Mulkey",1,3.3,456.0,0
LEGO Friends: The Power of Friendship,TV Show,2016,10,1,2.0,1,0,2021,Denmark,kids' tv,TV-Y7,kids' tv,"Erica Mendez, Marianne Miller, Rachelle Heger, Millie O'Conner, Alexa Kahn, Doug Stone, Chris Smith, Bryce Papenbrook, Heather Downey, Chris Hackney, Ben Pronsky",1,6.8,83.0,0
Skater Girl,Movie,2021,5,1,110.0,0,1,2021,United States,children & family movies,PG,"children & family movies, dramas, international movies","Rachel Saanchita Gupta, Amy Maghera, Shafin Patel, Ambrish Saxena, Swati Das, Jonathan Readwin, Ankit Yadav, Anurag Arora, Vinayak Gupta, Vivek Yadav, Waheeda Rehman",1,6.7,5069.0,0
Wish Dragon,Movie,2021,5,1,102.0,0,0,2021,China,children & family movies,PG,"children & family movies, comedies","Jimmy Wong, John Cho, Constance Wu, Will Yun Lee, Bobby Lee, Jimmy O. Yang, Ian Chen",1,7.2,36843.0,1
Awake,Movie,2021,5,1,97.0,0,1,2021,United States,dramas,TV-MA,"dramas, thrillers","Gina Rodriguez, Ariana Greenblatt, Frances Fisher, Jennifer Jason Leigh, Barry Pepper, Shamier Anderson, Finn Jones, Lucius Hoyos, Gil Bellows",1,4.9,28087.0,1
A Private War,Movie,2018,8,1,110.0,0,0,2021,United Kingdom,dramas,R,"dramas, independent movies","Rosamund Pike, Jamie Dornan, Tom Hollander, Stanley Tucci, Nikki Amuka-Bird, Faye Marsay, Greg Wise, Corey Johnson, Raad Rawi, Jesuthasan Antonythasan",1,6.7,22254.0,1
Sweet & Sour,Movie,2021,5,1,103.0,0,0,2021,South Korea,comedies,TV-14,"comedies, international movies, romantic movies","Jang Ki-yong, Chae Soo-bin, Jung Soo-jung",0,6.6,3880.0,0
Sweet Tooth,TV Show,2021,5,1,1.0,1,1,2021,United States,tv action & adventure,TV-14,"tv action & adventure, tv dramas, tv sci-fi & fantasy","Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen, Dania Ramirez, Aliza Vellani, Will Forte, James Brolin, Neil Sandilands, Mia Artemis",1,7.7,77189.0,1
Gold Statue,Movie,2019,7,1,145.0,0,0,2021,Nigeria,comedies,TV-14,"comedies, dramas, international movies","Gabriel Afolayan, Kunle Remi, Richard Mofe-Damijo, Sola Sobowale, Kelvin Ikeduba, Kunle Fawole, Norbert Young, Alibaba Akporobome, Segun Arinze, Rycardo Agbor",1,6.9,65.0,0
Hostel: Part III,Movie,2011,15,0,88.0,0,1,2021,United States,cult movies,R,"cult movies, horror movies","Kip Pardue, Brian Hallisay, John Hensley, Sarah Habel, Chris Coy, Skyler Stone, Thomas Kretschmann, Zulay Henao, Nickola Shreli, Derrick Carr",1,4.6,29489.0,1
